iso_code,continent,location,date,new_deaths,total_deaths,stringency_index,population,population_density,total_vaccinations,people_vaccinated,people_fully_vaccinated,median_age,gdp_per_capita,hospital_beds_per_thousand,human_development_index,continent_rearranged,percentage_fully_vaccinated
AFG,Asia,Afghanistan,2021-08-17,6.0,7031.0,22.22,39835428.0,54.422,1171064.0,742934.0,219159.0,18.6,1803.987,0.5,0.511,Asia & Oceania,0.01865008203250634
ALB,Europe,Albania,2021-08-17,2.0,2468.0,37.96,2872934.0,104.871,1340339.0,764997.0,575342.0,38.0,11803.431,2.89,0.795,Europe,0.26627726219954934
DZA,Africa,Algeria,2021-08-17,37.0,4867.0,49.07,44616626.0,17.348,75000.0,75000.0,0.0,29.1,13913.839,1.9,0.748,Africa,0.001680987710724697
ATG,North America,Antigua and Barbuda,2021-08-17,0.0,43.0,0.0,98728.0,231.845,71434.0,39186.0,32248.0,32.1,21490.943,3.8,0.778,America,0.3969086783891095
ARG,South America,Argentina,2021-08-17,300.0,109405.0,75.93,45605823.0,16.177,36941932.0,26684756.0,10257176.0,31.9,18933.907,5.0,0.845,America,0.5851172996044826
ARM,Asia,Armenia,2021-08-17,11.0,4713.0,0.0,2968128.0,102.931,220236.0,144573.0,75663.0,35.7,8787.58,4.2,0.776,Asia & Oceania,0.04870847887961705
AUS,Oceania,Australia,2021-08-17,3.0,970.0,71.76,25788217.0,3.202,15867284.0,10195842.0,5671442.0,37.9,44648.71,3.84,0.944,Asia & Oceania,0.3953682412397879
AUT,Europe,Austria,2021-08-17,0.0,10757.0,56.02,9043072.0,106.749,10278606.0,5428110.0,5078751.0,44.4,45436.686,7.37,0.922,Europe,0.600250667029965
AZE,Asia,Azerbaijan,2021-08-17,18.0,5188.0,61.11,10223344.0,119.309,5866215.0,3473806.0,2392409.0,32.4,15847.419,4.7,0.756,Asia & Oceania,0.3397915593958298
BHS,North America,Bahamas,2021-08-17,0.0,313.0,55.56,396914.0,39.497,110443.0,62863.0,47580.0,34.3,27717.847,2.9,0.814,America,0.15837939704822707
BHR,Asia,Bahrain,2021-08-17,0.0,1384.0,39.35,1748295.0,1935.907,2434005.0,1128205.0,1073383.0,32.4,43290.705,2.0,0.852,Asia & Oceania,0.6453172948501255
BGD,Asia,Bangladesh,2021-08-17,198.0,24547.0,60.19,166303494.0,1265.036,21432342.0,15742198.0,5690144.0,27.5,3523.984,0.8,0.632,Asia & Oceania,0.09465945435878816
