,iso_code,date,new_deaths,total_deaths,stringency_index,population,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,icu_patients,aged_65_older,aged_70_older,handwashing_facilities,positive_rate,extreme_poverty,male_smokers,female_smokers,days,latitude,longitude,country,weeks,percentage_vaccinated
0,AUS,2021-08-09,4.0,943.0,68.06,25788217.0,0.002,13978253.0,9217113.0,4761140.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,0,-25.274398,133.775136,Australia,0,0.35741567553894865
1,AUS,2021-08-10,2.0,945.0,68.06,25788217.0,0.002,14244517.0,9352280.0,4892237.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,1,-25.274398,133.775136,Australia,0,0.3626571003338463
2,AUS,2021-08-11,2.0,947.0,68.06,25788217.0,0.002,14507481.0,9484184.0,5023297.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,2,-25.274398,133.775136,Australia,0,0.3677719944732899
3,AUS,2021-08-12,2.0,949.0,71.76,25788217.0,0.002,14777274.0,9618874.0,5158400.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,3,-25.274398,133.775136,Australia,0,0.3729949224484965
4,AUS,2021-08-13,4.0,953.0,71.76,25788217.0,0.002,15056296.0,9760508.0,5295788.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,4,-25.274398,133.775136,Australia,0,0.3784871206877156
5,AUS,2021-08-14,5.0,958.0,71.76,25788217.0,0.002,15220857.0,9847969.0,5372888.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,5,-25.274398,133.775136,Australia,0,0.38187863084912
6,AUS,2021-08-15,8.0,966.0,71.76,25788217.0,0.002,15315158.0,9905472.0,5409686.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,6,-25.274398,133.775136,Australia,0,0.3841084476681734
7,AUS,2021-08-16,1.0,967.0,71.76,25788217.0,0.002,15593985.0,10051748.0,5542237.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,7,-25.274398,133.775136,Australia,1,0.38978065059713124
8,AUS,2021-08-17,3.0,970.0,71.76,25788217.0,0.002,15867284.0,10195842.0,5671442.0,0.0,15.504,10.129,0.0,0.002,0.5,16.5,13.0,8,-25.274398,133.775136,Australia,1,0.3953682412397879
9,AUS,2021-08-18,2.0,972.0,71.76,25788217.0,0.003,16175628.0,10359796.0,5815832.0,0.0,15.504,10.129,0.0,0.003,0.5,16.5,13.0,9,-25.274398,133.775136,Australia,1,0.4017259510419041
10,AUS,2021-08-19,4.0,976.0,71.76,25788217.0,0.003,16478313.0,10519590.0,5958723.0,0.0,15.504,10.129,0.0,0.003,0.5,16.5,13.0,10,-25.274398,133.775136,Australia,1,0.40792234686097145
11,AUS,2021-08-20,2.0,978.0,71.76,25788217.0,0.003,16788159.0,10684738.0,6103421.0,0.0,15.504,10.129,0.0,0.003,0.5,16.5,13.0,11,-25.274398,133.775136,Australia,1,0.4143263568784147
12,AUS,2021-08-21,3.0,981.0,71.76,25788217.0,0.003,16983749.0,10793183.0,6190566.0,0.0,15.504,10.129,0.0,0.003,0.5,16.5,13.0,12,-25.274398,133.775136,Australia,1,0.41853157199662155
13,AUS,2021-08-22,3.0,984.0,71.76,25788217.0,0.004,17123030.0,10882390.0,6240640.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,13,-25.274398,133.775136,Australia,1,0.4219907874980267
14,AUS,2021-08-23,0.0,984.0,71.76,25788217.0,0.004,17412205.0,11043784.0,6368421.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,14,-25.274398,133.775136,Australia,2,0.4282492271567282
15,AUS,2021-08-24,2.0,986.0,71.76,25788217.0,0.004,17718300.0,11210096.0,6508204.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,15,-25.274398,133.775136,Australia,2,0.43469837406750533
16,AUS,2021-08-25,3.0,989.0,71.76,25788217.0,0.004,18052293.0,11391093.0,6661200.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,16,-25.274398,133.775136,Australia,2,0.4417169670939251
17,AUS,2021-08-26,2.0,991.0,71.76,25788217.0,0.004,18358731.0,11550262.0,6808469.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,17,-25.274398,133.775136,Australia,2,0.44788912703813527
18,AUS,2021-08-27,2.0,993.0,71.76,25788217.0,0.004,18674306.0,11724184.0,6950122.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,18,-25.274398,133.775136,Australia,2,0.4546333699611726
19,AUS,2021-08-28,6.0,999.0,71.76,25788217.0,0.004,18894458.0,11850205.0,7044253.0,0.0,15.504,10.129,0.0,0.004,0.5,16.5,13.0,19,-25.274398,133.775136,Australia,2,0.4595201366577612
20,AUS,2021-08-29,4.0,1003.0,71.76,25788217.0,0.005,19052562.0,11956986.0,7095576.0,0.0,15.504,10.129,0.0,0.005,0.5,16.5,13.0,20,-25.274398,133.775136,Australia,2,0.4636608261827485
21,AUS,2021-08-30,3.0,1006.0,71.76,25788217.0,0.005,19329147.0,12106618.0,7222529.0,0.0,15.504,10.129,0.0,0.005,0.5,16.5,13.0,21,-25.274398,133.775136,Australia,3,0.46946316606533905
22,AUS,2021-08-31,6.0,1012.0,71.76,25788217.0,0.006,19663122.0,12293802.0,7369320.0,0.0,15.504,10.129,0.0,0.006,0.5,16.5,13.0,22,-25.274398,133.775136,Australia,3,0.47672167486414435
23,AUS,2021-09-01,7.0,1019.0,71.76,25788217.0,0.006,19992967.0,12480413.0,7512554.0,0.0,15.504,10.129,0.0,0.006,0.5,16.5,13.0,23,-25.274398,133.775136,Australia,3,0.4839579642128806
24,AUS,2021-09-02,13.0,1032.0,71.76,25788217.0,0.006,20293640.0,12640002.0,7653638.0,0.0,15.504,10.129,0.0,0.006,0.5,16.5,13.0,24,-25.274398,133.775136,Australia,3,0.4901464106649948
